"Species_name" "Taxonomic_order" "Taxonomic_family" "Taxonomic_genus" "Mean_adult_body_mass_g" "Mean_neonate_body_neonate_body_mass_g" "Mean_home_range_size_km2" "Mean_population_density_ind_km2" "Mean_group_size" "Mean_litter_per_year" "Mean_interbirth_interval" "Mean_weaning_age_d" "Mean_sexual_maturity_age_d" "Mean_litter_size" "Mean_gestation_length_d" "SD_adult_body_mass_g" "SD_neonate_body_neonate_body_mass_g" "SD_home_range_size_km2" "SD_population_density_ind_km2" "SD_group_size" "SD_litter_per_year" "SD_interbirth_interval" "SD_weaning_age_d" "SD_sexual_maturity_age_d" "SD_litter_size" "SD_gestation_length_d"
"Ammotragus_lervia" "Artiodactyla" "Bovidae" "Ammotragus" 97562.268 4500 11.01333667 NA NA NA 227.875 NA 450 1.313 152.227 39902.967612 0 9.39129315009595 NA NA NA 45.802875 NA 120.15 0.224523 18.571694
"Rupicapra_rupicapra" "Artiodactyla" "Bovidae" "Rupicapra" 32559.988 2328 NA NA NA NA 365 55 679.5 1.071 171.45 7098.077384 395.76 NA NA NA NA 0 18.7 265.6845 0.174573 8.5725
"Ovibos_moschatus" "Artiodactyla" "Bovidae" "Ovibos" 354884.779 11307.143 NA NA 10.333 NA 608.333 175.833 1381.809 1.006 253.556 135211.100799 2510.185746 NA NA 6.912777 NA 172.158239 117.80811 574.832544 0.013078 8.367348
"Oreamnos_americanus" "Artiodactyla" "Bovidae" "Oreamnos" 73490.939 3026.667 22.92858 NA 2 NA NA 54.7 883.897 1.156 174.089 26456.73804 372.280041 1.05140301347628 NA 1 NA NA 47.2061 315.551229 0.221952 14.971654
"Bos_taurus" "Artiodactyla" "Bovidae" "Bos" 590397.5 NA 17.975 NA NA NA NA NA NA NA 280.5 295198.75 NA 5.734707924175 NA NA NA NA NA NA NA 2.5245
"Bubalus_bubalis" "Artiodactyla" "Bovidae" "Bubalus" 774750 NA NA NA NA NA 486.667 NA 733.75 1.286 313.556 330043.5 NA NA NA NA NA 172.280118 NA 146.75 0.363938 10.033792
"Tragelaphus_strepsiceros" "Artiodactyla" "Bovidae" "Tragelaphus" 216423.999 15650 NA 0.383 17.25 NA NA NA 583.333 1 219 47396.855781 657.3 NA 0.715061 12.74775 NA NA NA 103.833274 0 42.924
"Alces_alces" "Artiodactyla" "Cervidae" "Alces" 461860.313 13176.923 182.3697044 1.076 NA NA NA 64.2 642.094 1.371 235.84 115465.07825 2305.961525 226.785051321818 1.396648 NA NA NA 42.2436 217.027772 0.430494 9.66944
"Capreolus_capreolus" "Artiodactyla" "Cervidae" "Capreolus" 22965.406 1226.667 NA NA NA NA NA 84.786 508.591 1.567 147.556 2686.952502 246.560067 NA NA NA NA NA 61.554636 293.457007 0.349441 22.1334
"Odocoileus_hemionus" "Artiodactyla" "Cervidae" "Odocoileus" 87031.783 3028.824 14.538752 20.943 NA NA 365 70.683 484.05 1.659 204.836 25326.248853 290.767104 16.270362622335 15.581592 NA NA 0 36.119013 167.4813 0.21567 3.277376
"Odocoileus_virginianus" "Artiodactyla" "Cervidae" "Odocoileus" 78331.245 3064.545 2.69167 27.933 2.25 NA NA 92.389 338.24 1.698 205.069 28199.2482 539.35992 0.20333000073488 25.223499 1.251 NA NA 53.031286 181.97312 0.45846 14.764968
"Rangifer_tarandus" "Artiodactyla" "Cervidae" "Rangifer" 127491.056 5543.519 NA NA 201428.571 NA NA 122.5 765.798 1.25 220.632 40542.155808 1413.597345 NA NA 221369.999529 NA NA 29.155 431.910072 0.4325 13.458552
"Axis_axis" "Artiodactyla" "Cervidae" "Axis" 68752.082 3317.75 1.809236667 15.82 NA NA NA NA 370 1.129 230.222 13819.168482 494.34475 1.31125592408315 19.88574 NA NA NA NA 189.81 0.299185 11.971544
"Axis_porcinus" "Artiodactyla" "Cervidae" "Axis" 37015.55 2532.5 0.7 17.24 NA NA NA NA NA 1.003 221.938 5108.1459 167.145 0.1000000001 11.10256 NA NA NA NA NA 0.004012 19.308606
"Cervus_nippon" "Artiodactyla" "Cervidae" "Cervus" 66598.688 4337.5 2.925745 NA 7.5 NA NA 142.429 602.188 1.007 222.553 38427.442976 1392.3375 2.07425499944333 NA 1.5 NA NA 100.982161 315.546512 0.017119 8.457014
"Rusa_unicolor" "Artiodactyla" "Cervidae" "Rusa" 200230.303 10270 NA 45.018 NA NA NA NA NA 1.003 242.8 46052.96969 0 NA 100.61523 NA NA NA NA NA 0.007021 5.0988
"Rusa_timorensis" "Artiodactyla" "Cervidae" "Rusa" 81416.667 NA NA NA NA NA 366 225 559.643 1 248.744 35986.166814 NA NA NA NA NA 0 0 162.29647 0 15.919616
"Cervus_elaphus" "Artiodactyla" "Cervidae" "Cervus" 221159.351 9973.462 NA 3.128 26.167 NA NA 91.455 770.938 1.055 241.13 104829.532374 3979.411338 NA 1.695376 20.9336 NA NA 61.915035 400.116822 0.199395 17.60249
"Dama_dama" "Artiodactyla" "Cervidae" "Dama" 59049.963 4789.583 2.2787525 20.7 15.225 NA 365 178.5 588.819 1.063 229.623 15884.440047 622.64579 2.90844859375798 7.3899 13.535025 NA 0 31.416 362.123685 0.165828 9.18492
"Moschus_moschiferus" "Artiodactyla" "Moschidae" "Moschus" 13357.143 508.25 0.851666667 NA 1 NA NA NA 548.571 1.459 171 1215.500013 84.87775 0.990541378927687 NA 0 NA NA NA 242.468382 0.391012 27.189
"Antilocapra_americana" "Artiodactyla" "Antilocapridae" "Antilocapra" 46892.188 3441.538 10.93615 NA NA NA NA 82.143 573.289 1.899 247.944 6986.936012 478.373782 5.26664895386065 NA NA NA NA 36.471492 392.702965 0.178506 11.901312
"Sus_scrofa" "Artiodactyla" "Suidae" "Sus" 82160.027 965.545 5.7871275 13.827 9 1.5 230 67.9 507.013 4.951 117.735 31138.650233 358.217195 6.13762360965658 17.186961 5.661 0.4995 0 46.5115 459.353778 1.465496 6.004485
"Camelus_bactrianus" "Artiodactyla" "Camelidae" "Camelus" 580000 34400 NA 0.411 7.487 NA NA 261.75 1355.714 1 396.438 80620 1616.8 NA 0.629652 1.961594 NA NA 184.53375 306.391364 0 6.739446
"Equus_hemionus" "Perissodactyla" "Equidae" "Equus" 226500 NA NA 2.144 3 NA NA 333.438 1150.833 1 342.667 20838 NA NA 2.463456 0 NA NA 196.394982 89.764974 0 11.993345
"Mephitis_mephitis" "Carnivora" "Mephitidae" "Mephitis" 2573.499 28.475 2.094903333 8.669 NA NA 291.25 48 334.1 4.779 64.717 707.712225 8.37165 1.45763143261283 0.164711 NA NA 124.94625 8.592 27.3962 1.495827 2.653397
