N,MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterBirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MRLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MRLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm
404,Rodentia,Muridae,Bunomys,penitus,Bunomys_penitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49798,-1.24,-4.06,-2.65,122.14,119.31,120.73,17,37.73,17,0.1,227.45,201.09,1814.99,1903.22
405,Rodentia,Muridae,Bunomys,prolatus,Bunomys_prolatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,-1.53,-1.71,-1.62,121.46,121.28,121.37,17,17,17,0.13,234,190,1798,1831
406,Diprotodontia,Burramyidae,Burramys,parvus,Burramys_parvus,1,44.3,NA,114.5,46,365,36.76,44.3,5,NA,14.74,2,NA,NA,365,3.8,1,144,NA,NA,6130,NA,330.4,1,4,2,2,60,16,NA,NA,NA,NA,NA,22143,-35.15,-37.43,-36.29,149.06,146.89,147.97,1,9.9,1,0.02,64.13,98.74,669.94,922.35
407,Xenarthra,Dasypodidae,Cabassous,centralis,Cabassous_centralis,1,3810,NA,416.39,NA,NA,811.53,3810,1,NA,NA,2,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,669685,16.88,4.6,10.74,-69.4,-91.47,-80.43,2,55.18,4,0.14,167.79,241.52,1374.48,1690.31
408,Xenarthra,Dasypodidae,Cabassous,chacoensis,Cabassous_chacoensis,NA,1490,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1693763,-11.42,-28.93,-20.18,-52.8,-64.88,-58.84,0,7.25,0,0.12,101.84,228.4,1102.12,1325.62
409,Xenarthra,Dasypodidae,Cabassous,tatouay,Cabassous_tatouay,NA,5350,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,4148382,-5.16,-34.98,-20.07,-38.3,-58.85,-48.57,0,41.25,1,0.09,123.8,219.62,1142.35,1395.23
410,Xenarthra,Dasypodidae,Cabassous,unicinctus,Cabassous_unicinctus,1,4140,NA,456.25,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0.92,NA,NA,100,NA,0.62,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,9346240,11.4,-23.37,-5.98,-34.79,-78.09,-56.44,0,12.88,0,0.12,161.32,246.91,1330.57,1560.63
411,Primates,Cebidae,Cacajao,calvus,Cacajao_calvus,3,3420,NA,541.55,NA,1306.7,NA,NA,4,NA,180,1,NA,NA,775.62,1.02,NA,324,NA,NA,15.1,NA,1095,23.7,NA,2,2,337.08,NA,NA,NA,0.76,NA,NA,103819,-1.84,-9.62,-5.73,-65.4,-74.59,-69.99,0,2.02,0,0.08,211.86,255.26,1515.98,1535.61
412,Primates,Cebidae,Cacajao,melanocephalus,Cacajao_melanocephalus,3,3140,NA,400,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,30,NA,2,2,NA,NA,NA,NA,NA,NA,NA,465905,4.03,-2.95,0.53,-61.26,-72.43,-66.84,0,0.14,0,-0.02,231.02,250.53,1580.97,1597.06
413,Paucituberculata,Caenolestidae,Caenolestes,caniventer,Caenolestes_caniventer,2,40,NA,121.79,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,10518,-3.81,-5.27,-4.54,-78.28,-79.06,-78.67,2,18.63,2,0.1,72.73,202.45,934.93,1407.64
414,Paucituberculata,Caenolestidae,Caenolestes,convelatus,Caenolestes_convelatus,2,31.9,NA,106.34,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,12725,2.04,-0.82,0.61,-77.33,-78.99,-78.16,11,80.31,11,0.13,142.14,169.06,1452.29,1565.59
415,Paucituberculata,Caenolestidae,Caenolestes,fuliginosus,Caenolestes_fuliginosus,2,30.6,NA,113.23,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,3.62,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,127434,9.04,1.17,5.1,-70.78,-76.84,-73.81,5,75.48,7,0.09,103.05,188.16,1415.54,1530.66
416,Insectivora,Chrysochloridae,Calcochloris,obtusirostris,Calcochloris_obtusirostris,NA,24.1,NA,100.99,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,209272,-19.49,-27.73,-23.61,35.6,31.26,33.43,1,35.93,2,0.22,67.42,231.62,861.55,1426.16
417,Primates,Cebidae,Callicebus,brunneus,Callicebus_brunneus,3,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04,0.04,NA,1.02,NA,NA,NA,NA,NA,NA,NA,2.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,137589,-7.82,-12.33,-10.07,-61.45,-65.09,-63.27,0,5.95,1,0.44,173.37,244.48,1299.02,1578.08
418,Primates,Cebidae,Callicebus,caligatus,Callicebus_caligatus,3,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,Primates,Cebidae,Callicebus,cinerascens,Callicebus_cinerascens,3,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,113468,-4.32,-12.46,-8.39,-58.37,-60.42,-59.39,0,0.52,0,0.34,180.52,248.44,1301.24,1525.97
420,Primates,Cebidae,Callicebus,cupreus,Callicebus_cupreus,3,1120,NA,355,NA,NA,NA,NA,NA,NA,129.29,1,NA,NA,395.41,1.01,NA,NA,73.9,NA,4.9,NA,NA,2.05,NA,2,NA,200.53,NA,NA,NA,1.07,NA,NA,713990,4.38,-10.67,-3.14,-61.59,-74.92,-68.25,0,6.17,0,0.06,192.78,253.08,1527.33,1569.92
421,Primates,Cebidae,Callicebus,donacophilus,Callicebus_donacophilus,3,899,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,288759,-10.45,-21.29,-15.87,-57.52,-67.21,-62.37,0,3.63,0,0.17,108.93,244.32,1238.19,1469.11
422,Primates,Cebidae,Callicebus,dubius,Callicebus_dubius,3,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,Primates,Cebidae,Callicebus,hoffmannsi,Callicebus_hoffmannsi,3,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,107710,-1.95,-6,-3.97,-54.87,-59.21,-57.04,0,2.82,0,0.11,156.53,258.61,1419.94,1614.48
424,Primates,Cebidae,Callicebus,modestus,Callicebus_modestus,3,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,17288,-14.25,-15.67,-14.96,-65.93,-67.39,-66.66,1,2.76,1,0.47,119.01,225.42,1432.14,1548.82
425,Primates,Cebidae,Callicebus,moloch,Callicebus_moloch,3,965,NA,358.65,NA,1095,NA,NA,3,NA,163.99,1,0.02,0.02,365,1.02,NA,303.6,74.4,125,18.4,NA,1095,2.95,NA,2,2,58.47,NA,NA,NA,1.11,NA,NA,911443,-1.3,-14.1,-7.7,-48.19,-58.29,-53.24,0,2.4,0,0.13,174.03,246.08,1330.45,1530.29
426,Primates,Cebidae,Callicebus,oenanthe,Callicebus_oenanthe,3,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5807,-5.16,-5.98,-5.57,-76.96,-77.67,-77.31,2,8.33,2,0.06,139.67,220.5,1287.01,1394.99
427,Primates,Cebidae,Callicebus,olallae,Callicebus_olallae,3,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,17288,-14.25,-15.67,-14.96,-65.93,-67.39,-66.66,1,2.76,1,0.47,119.01,225.42,1432.14,1548.82
428,Primates,Cebidae,Callicebus,personatus,Callicebus_personatus,3,1390,NA,362.49,NA,NA,NA,NA,4,NA,NA,1,0.03,0.03,NA,1.01,NA,NA,NA,NA,13,NA,NA,2.35,NA,2,1,NA,NA,NA,NA,NA,NA,NA,913675,-8.57,-24.44,-16.51,-37.52,-51.33,-44.43,3,101.35,5,0.06,114.08,215.15,1152.11,1397.6
429,Primates,Cebidae,Callicebus,torquatus,Callicebus_torquatus,3,1220,NA,294.99,NA,NA,NA,NA,4,NA,NA,1,0.11,0.09,NA,1.02,NA,NA,NA,NA,10.2,NA,1460,3.85,NA,2,2,121.66,NA,NA,NA,NA,NA,NA,1877388,8.18,-8.72,-0.26,-58.76,-76.71,-67.74,0,1.73,0,0.12,202.15,255.5,1523.12,1587.14
430,Primates,Callitrichidae,Callimico,goeldii,Callimico_goeldii,3,558,NA,280,NA,491.83,NA,NA,2,NA,154,1,0.32,0.31,182.5,1,NA,214.8,50.5,NA,2.09,NA,350.17,6.85,NA,2,2,66.1,120,NA,NA,1.59,NA,NA,462922,0.97,-11.64,-5.33,-67.04,-77.15,-72.1,0,3,0,0.11,209.19,259.78,1476.2,1518.11
431,Primates,Callitrichidae,Callithrix,argentata,Callithrix_argentata,3,369,NA,NA,NA,609.55,NA,NA,4,NA,NA,1,0.17,NA,219.6,2,NA,201.6,35.9,NA,9.5,NA,608.33,9.5,NA,2,2,NA,NA,NA,NA,1.44,NA,NA,902343,-1.09,-19.88,-10.49,-49.38,-65.04,-57.21,0,3.31,0,0.19,150.89,247.11,1249.67,1485.78
432,Primates,Callitrichidae,Callithrix,aurita,Callithrix_aurita,3,388,NA,240,NA,NA,NA,NA,3,NA,139.99,1,0.08,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,2,2,NA,NA,NA,NA,NA,NA,NA,87653,-21.66,-24.65,-23.15,-40.97,-49.07,-45.02,14,398.77,24,0.06,148.06,188.19,1243.75,1379.49
433,Primates,Callitrichidae,Callithrix,flaviceps,Callithrix_flaviceps,3,375,NA,240,NA,NA,NA,NA,3,NA,139.99,1,0.22,NA,NA,2,NA,NA,NA,NA,11.9,NA,NA,9.8,NA,2,2,NA,NA,NA,NA,NA,NA,NA,27331,-20.39,-21.92,-21.16,-40.81,-43.12,-41.96,36,56.38,37.5,0.05,111.78,200.81,1193.67,1398.92
434,Primates,Callitrichidae,Callithrix,geoffroyi,Callithrix_geoffroyi,3,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,132745,-16.9,-21.07,-18.99,-39.13,-43.62,-41.38,11,47.67,14,0.06,108.43,216.05,1237.94,1455.44
435,Primates,Callitrichidae,Callithrix,humeralifera,Callithrix_humeralifera,3,375,NA,NA,NA,NA,NA,NA,4,NA,NA,1,0.1,0.09,NA,NA,NA,180,34.5,NA,28.5,NA,NA,8.5,NA,2,2,101.68,NA,NA,NA,NA,NA,NA,133529,-2.27,-8.45,-5.36,-55.4,-60.52,-57.96,0,1.65,0,0.12,163.98,258.61,1433.88,1605.48
436,Primates,Callitrichidae,Callithrix,jacchus,Callithrix_jacchus,3,291,NA,NA,NA,555.1,152,190,5,NA,143.99,1,0.02,NA,159.8,2.14,NA,201.6,27.7,NA,512,NA,408.53,8.55,NA,2,2,60.04,96.8,NA,NA,1.7,NA,NA,604264,-2.78,-10.38,-6.58,-34.79,-45.78,-40.28,1,61.47,2,0.06,99.39,249.92,912.68,1488.61
437,Primates,Callitrichidae,Callithrix,kuhlii,Callithrix_kuhlii,3,375,NA,NA,NA,NA,NA,NA,4,NA,NA,1,0.06,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,34584,-14.4,-16.84,-15.62,-38.85,-40.32,-39.59,7,32.31,9.5,0.08,149.75,229.94,1475.45,1613.32
438,Primates,Callitrichidae,Callithrix,penicillata,Callithrix_penicillata,3,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.01,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5.9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1325473,-2.32,-23.03,-12.68,-40.15,-52.33,-46.24,1,23.65,1,0.07,117.22,219.92,1084.95,1442.42
439,Primates,Callitrichidae,Callithrix,pygmaea,Callithrix_pygmaea,3,125,NA,155.05,0,840.41,113.99,116.9,3,NA,134.53,1,0.00214,0.00248,182.5,2,NA,181.2,14.5,NA,15.9,NA,623.54,6,NA,2,2,90.14,70,NA,NA,1.59,NA,NA,1508926,0.59,-12.52,-5.96,-61.36,-78.52,-69.94,0,2.19,0,0.1,208.53,256.47,1483.18,1526.07
440,Carnivora,Otariidae,Callorhinus,ursinus,Callorhinus_ursinus,2,55700,NA,1744.78,0,NA,NA,NA,6,120,250.93,2,NA,NA,365,1,0.5,420,5350,NA,18,NA,1464.98,NA,NA,1,2,109.79,11300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,Rodentia,Sciuridae,Callosciurus,adamsi,Callosciurus_adamsi,3,209,NA,203.5,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,30384,5.47,2.22,3.84,117.88,113.3,115.59,1,9.09,1,0.16,287.63,235.52,1719.17,1747.03
442,Rodentia,Sciuridae,Callosciurus,albescens,Callosciurus_albescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432351,5.65,-5.94,-0.14,106.08,95.18,100.63,20,92.24,28,0.14,229.28,252.45,1697.6,1774.17
443,Rodentia,Sciuridae,Callosciurus,baluensis,Callosciurus_baluensis,3,324,NA,203.5,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,2.99,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,20853,6.26,3.48,4.87,117.07,114.56,115.82,3,18.16,3,0.26,271.96,226.05,1790.43,1858.35
444,Rodentia,Sciuridae,Callosciurus,caniceps,Callosciurus_caniceps,NA,265,NA,211.69,NA,NA,NA,NA,NA,NA,NA,1,0.01,0.01,NA,2.2,NA,114,NA,NA,18.9,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,420862,20.24,2.65,11.44,103.04,97.69,100.36,3,112.44,8,0.08,183.7,249.01,1283.38,1697.82
445,Rodentia,Sciuridae,Callosciurus,erythraeus,Callosciurus_erythraeus,NA,283,NA,212.54,NA,NA,NA,NA,3,NA,NA,1,0.00898,0.00828,NA,1.94,2,193.2,NA,NA,613,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,Rodentia,Sciuridae,Callosciurus,finlaysonii,Callosciurus_finlaysonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,723854,20.23,8.55,14.39,108.18,97.26,102.72,2,114.64,7,0.1,161.37,250.25,1131.43,1592.3
447,Rodentia,Sciuridae,Callosciurus,inornatus,Callosciurus_inornatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235249,23.1,17.77,20.43,106.37,100.41,103.39,5,113.42,9,0.11,129.13,198.19,1067.23,1283.09
448,Rodentia,Sciuridae,Callosciurus,melanogaster,Callosciurus_melanogaster,3,296,NA,212.99,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,5141,-0.91,-2.85,-1.88,100.22,98.58,99.4,43,56.87,43,0.08,340,259,NA,NA
449,Rodentia,Sciuridae,Callosciurus,nigrovittatus,Callosciurus_nigrovittatus,3,209,NA,203.5,NA,NA,NA,NA,6,NA,NA,1,0.01,0.01,NA,2.28,NA,NA,NA,NA,5.84,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,1450546,7.64,-8.78,-0.56,119.26,95.18,107.22,1,153.88,4,0.14,238.9,248.29,1667.44,1736.8
450,Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus_notatus,3,210,NA,203.5,NA,NA,NA,NA,6,NA,NA,1,0.02,0.01,NA,2.91,NA,115.2,NA,NA,99.7,NA,350.17,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,1474470,9.25,-8.78,0.23,119.26,95.18,107.22,1,153.2,4,0.14,237.33,248.57,1665.17,1740.34
451,Rodentia,Sciuridae,Callosciurus,orestes,Callosciurus_orestes,3,324,NA,203.5,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,2.99,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,35107,6.13,1.91,4.02,117.52,114.19,115.85,1,10.34,1,0.23,281.49,223.26,1743.05,1779.12
452,Rodentia,Sciuridae,Callosciurus,phayrei,Callosciurus_phayrei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99942,25.01,16.95,20.98,99.69,96.89,98.29,5,45.75,10,0.06,126.01,178.2,1059.71,1455.36
453,Rodentia,Sciuridae,Callosciurus,prevostii,Callosciurus_prevostii,3,400,NA,246.99,NA,NA,NA,NA,6,NA,46.08,1,NA,NA,NA,1.71,NA,68,16.4,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,1315342,7.06,-5.94,0.55,119.26,95.18,107.22,1,71.14,4,0.15,243.8,248.44,1686.88,1743.09
454,Rodentia,Sciuridae,Callosciurus,pygerythrus,Callosciurus_pygerythrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,503627,27.67,16.5,22.08,104.04,90.28,97.16,1,153.56,6,0.07,170.22,214.69,1049.62,1357.19
455,Rodentia,Sciuridae,Callosciurus,quinquestriatus,Callosciurus_quinquestriatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21109,25.83,23.59,24.71,98.98,97.46,98.22,20,63.02,20,0.06,136.44,79.19,1054.64,1313.57
456,Rodentia,Muridae,Calomys,boliviae,Calomys_boliviae,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108148,-17.09,-22.5,-19.8,-63.82,-66.27,-65.04,3,11.29,3,0.09,59.05,134.45,760.61,1425.07
457,Rodentia,Muridae,Calomys,callidus,Calomys_callidus,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,Rodentia,Muridae,Calomys,callosus,Calomys_callosus,NA,45.7,NA,NA,NA,42,63.3,48.75,NA,NA,21.8,2,NA,NA,21,5.39,3,NA,2.41,NA,660,NA,38.31,NA,NA,1,NA,18.33,12.1,NA,NA,NA,NA,NA,3551461,-6.74,-35.43,-21.08,-36.32,-67.78,-52.05,0,13.74,0,0.11,98.32,217.35,1065.81,1375.76
459,Rodentia,Muridae,Calomys,hummelincki,Calomys_hummelincki,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,333860,12.19,5.54,8.87,-61.01,-72.19,-66.6,0,23.88,0,0.14,105.43,258.3,1295.97,1746.07
460,Rodentia,Muridae,Calomys,laucha,Calomys_laucha,NA,14,NA,NA,NA,NA,NA,NA,3,NA,25,2,NA,NA,NA,5.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1239274,-15.11,-39.11,-27.11,-53.67,-65.97,-59.82,0,22.38,0,0.07,82.65,198.33,953.17,1186.92
461,Rodentia,Muridae,Calomys,lepidus,Calomys_lepidus,NA,20.6,NA,NA,NA,NA,28.8,16,NA,NA,NA,1,NA,NA,20.75,4.3,NA,NA,2.01,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4.82,NA,NA,593465,-9.22,-23.53,-16.37,-64.61,-76.61,-70.61,0,15.44,0,0.06,74.28,67.19,667.13,1296.93
462,Rodentia,Muridae,Calomys,musculinus,Calomys_musculinus,NA,20.2,NA,NA,NA,NA,27.59,16.9,3,NA,20.97,1,NA,NA,NA,7.29,NA,NA,NA,NA,257,NA,65.87,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,869815,-22.73,-40.5,-31.61,-57.54,-68.49,-63.02,0,28.74,1,0.08,51.57,145.66,620,975.64
463,Rodentia,Muridae,Calomys,sorellus,Calomys_sorellus,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205440,-6.35,-16.74,-11.55,-70.55,-79.24,-74.89,3,23.07,4,0.06,62.31,70.89,726.99,1342.9
464,Rodentia,Muridae,Calomys,tener,Calomys_tener,NA,13.8,NA,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915352,-12.41,-24.88,-18.65,-40.09,-49.17,-44.63,1,90.74,3,0.06,121.18,207.69,1117.14,1407.18
465,Rodentia,Muridae,Calomyscus,bailwardi,Calomyscus_bailwardi,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,1,NA,NA,NA,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102086,34.05,29.11,31.58,53.58,48.88,51.23,30,42.95,31,0.12,24.52,130.14,292.44,1293.3
466,Rodentia,Muridae,Calomyscus,baluchi,Calomyscus_baluchi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29169,35.11,29.1,32.11,69.67,67.12,68.4,27,96.98,28,0.31,31.18,63.53,319.05,1137.82
467,Rodentia,Muridae,Calomyscus,hotsoni,Calomyscus_hotsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,26.85,26.69,26.77,65,64.83,64.92,12,13.5,12,0.12,16.5,207.5,165.5,1467.5
468,Rodentia,Muridae,Calomyscus,mystax,Calomyscus_mystax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204040,38.27,34.18,36.22,63.24,52.21,57.72,5,30.84,6,0.15,28.57,118.02,308,1031.21
469,Rodentia,Muridae,Calomyscus,tsolovi,Calomyscus_tsolovi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,32.63,32.6,32.62,36.11,36.08,36.09,156,156,156,0.18,18,171,274,1348
470,Rodentia,Muridae,Calomyscus,urartensis,Calomyscus_urartensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5580,39.54,38.53,39.04,45.78,45.04,45.41,23,55.42,23,0.05,31.81,91.45,436.71,862.15
